detection_type,trained_on,inference_on,easy,medium,hard,results_from
bev,clean,adversarial,0.053582,0.089052,0.117729,us
3d,clean,adversarial,0.001763,0.003453,0.00565,us
bev,adversarial,adversarial,83.845039,76.842575,76.430855,us
3d,adversarial,adversarial,66.106766,60.395126,61.042713,us
bev,adversarial,clean,86.970261,78.465691,78.289085,us
3d,adversarial,clean,71.094414,63.751625,63.73251,us
bev,ssn,adversarial,0.062951,0.126371,0.161652,us
3d,ssn,adversarial,0.003725,0.010465,0.012001,us
bev,adversarial,ssn,87.833961,78.402519,78.335648,us
3d,adversarial,ssn,69.120178,54.891121,54.554195,us
bev,clean,clean,89.33,86.49,79.44,taewan
3d,clean,clean,76.41,72.74,66.86,taewan
bev,clean,ssn,87.774376,78.384964,78.407005,us
3d,clean,ssn,69.03598,55.077541,54.628204,us
bev,ssn,clean,88.27,85.65,78.98,taewan
3d,ssn,clean,73.5,65.66,64.74,taewan
bev,ssn,ssn,77.77,68.71,67.89,taewan (need to rerun)
3d,ssn,ssn,62.46,53.85,47.62,taewan (need to rerun)
