/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/engine/base_layer_v1.py:1694: UserWarning: `layer.apply` is deprecated and will be removed in a future version. Please use `layer.__call__` method instead.
  warnings.warn('`layer.apply` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/legacy_tf_layers/core.py:336: UserWarning: `tf.layers.flatten` is deprecated and will be removed in a future version. Please use `tf.keras.layers.Flatten` instead.
  warnings.warn('`tf.layers.flatten` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/framework/indexed_slices.py:447: UserWarning: Converting sparse IndexedSlices(IndexedSlices(indices=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape_1:0", shape=(None,), dtype=int32), values=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape:0", shape=(None, 6), dtype=float32), dense_shape=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Cast:0", shape=(2,), dtype=int32))) to a dense Tensor of unknown shape. This may consume a large amount of memory.
  warnings.warn(
2022-01-11 21:03:08.260269: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-11 21:03:09.184816: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10421 MB memory:  -> device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:09:00.0, compute capability: 6.1
2022-01-11 21:03:14.592682: I tensorflow/stream_executor/cuda/cuda_dnn.cc:369] Loaded cuDNN version 8201
2022-01-11 21:03:15.119813: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121137: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121190: W tensorflow/stream_executor/gpu/asm_compiler.cc:77] Couldn't get ptxas version string: Internal: Couldn't invoke ptxas --version
2022-01-11 21:03:15.121820: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121942: W tensorflow/stream_executor/gpu/redzone_allocator.cc:314] Internal: Failed to launch ptxas
Relying on driver to perform ptx compilation. 
Modify $PATH to customize ptxas location.
This message will be only logged once.
Starting from step 120000 / 150000
Step 120000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00120000
Step 120000, Total Loss 1.294, Time Elapsed 7.169 s
Step 120010, Total Loss 2.257, Time Elapsed 22.200 s
Step 120020, Total Loss 2.226, Time Elapsed 17.958 s
Step 120030, Total Loss 0.852, Time Elapsed 18.412 s
Step 120040, Total Loss 1.173, Time Elapsed 18.889 s
Step 120050, Total Loss 0.746, Time Elapsed 17.412 s
Step 120060, Total Loss 4.332, Time Elapsed 18.505 s
Step 120070, Total Loss 0.302, Time Elapsed 17.455 s
Step 120080, Total Loss 1.510, Time Elapsed 18.519 s
Step 120090, Total Loss 2.075, Time Elapsed 17.324 s
Step 120100, Total Loss 0.734, Time Elapsed 17.311 s
Step 120110, Total Loss 2.794, Time Elapsed 17.880 s
Step 120120, Total Loss 1.417, Time Elapsed 17.860 s
Step 120130, Total Loss 1.731, Time Elapsed 18.929 s
Step 120140, Total Loss 1.248, Time Elapsed 16.797 s
Step 120150, Total Loss 1.328, Time Elapsed 17.709 s
Step 120160, Total Loss 0.819, Time Elapsed 18.016 s
Step 120170, Total Loss 2.283, Time Elapsed 17.607 s
Step 120180, Total Loss 2.827, Time Elapsed 18.243 s
Step 120190, Total Loss 2.654, Time Elapsed 18.418 s
Step 120200, Total Loss 2.233, Time Elapsed 19.029 s
Step 120210, Total Loss 0.766, Time Elapsed 17.965 s
Step 120220, Total Loss 1.020, Time Elapsed 18.105 s
Step 120230, Total Loss 0.535, Time Elapsed 19.007 s
Step 120240, Total Loss 1.093, Time Elapsed 17.707 s
Step 120250, Total Loss 1.150, Time Elapsed 18.584 s
Step 120260, Total Loss 0.591, Time Elapsed 17.842 s
Step 120270, Total Loss 2.395, Time Elapsed 18.373 s
Step 120280, Total Loss 1.025, Time Elapsed 17.516 s
Step 120290, Total Loss 0.243, Time Elapsed 17.549 s
Step 120300, Total Loss 5.219, Time Elapsed 17.514 s
Step 120310, Total Loss 4.905, Time Elapsed 16.841 s
Step 120320, Total Loss 0.495, Time Elapsed 17.890 s
Step 120330, Total Loss 1.220, Time Elapsed 17.617 s
Step 120340, Total Loss 0.551, Time Elapsed 17.188 s
Step 120350, Total Loss 1.227, Time Elapsed 17.210 s
Step 120360, Total Loss 0.813, Time Elapsed 17.299 s
Step 120370, Total Loss 2.285, Time Elapsed 18.067 s
Step 120380, Total Loss 1.089, Time Elapsed 17.416 s
Step 120390, Total Loss 1.010, Time Elapsed 17.421 s
Step 120400, Total Loss 1.004, Time Elapsed 18.506 s
Step 120410, Total Loss 1.241, Time Elapsed 17.996 s
Step 120420, Total Loss 1.331, Time Elapsed 18.344 s
Step 120430, Total Loss 0.985, Time Elapsed 16.647 s
Step 120440, Total Loss 1.749, Time Elapsed 17.411 s
Step 120450, Total Loss 2.013, Time Elapsed 17.709 s
Step 120460, Total Loss 0.388, Time Elapsed 17.581 s
Step 120470, Total Loss 1.057, Time Elapsed 18.297 s
Step 120480, Total Loss 3.263, Time Elapsed 17.903 s
Step 120490, Total Loss 0.940, Time Elapsed 17.291 s
Step 120500, Total Loss 1.589, Time Elapsed 18.423 s
Step 120510, Total Loss 0.423, Time Elapsed 17.414 s
Step 120520, Total Loss 2.051, Time Elapsed 18.453 s
Step 120530, Total Loss 1.264, Time Elapsed 17.914 s
Step 120540, Total Loss 0.386, Time Elapsed 18.111 s
Step 120550, Total Loss 0.653, Time Elapsed 17.778 s
Step 120560, Total Loss 1.034, Time Elapsed 17.704 s
Step 120570, Total Loss 0.324, Time Elapsed 18.098 s
Step 120580, Total Loss 2.985, Time Elapsed 17.320 s
Step 120590, Total Loss 0.703, Time Elapsed 18.907 s
Step 120600, Total Loss 0.918, Time Elapsed 18.998 s
Step 120610, Total Loss 16.071, Time Elapsed 17.970 s
Step 120620, Total Loss 3.711, Time Elapsed 17.266 s
Step 120630, Total Loss 2.296, Time Elapsed 17.971 s
Step 120640, Total Loss 0.108, Time Elapsed 18.981 s
Step 120650, Total Loss 0.670, Time Elapsed 17.821 s
Step 120660, Total Loss 1.919, Time Elapsed 17.949 s
Step 120670, Total Loss 2.678, Time Elapsed 16.731 s
Step 120680, Total Loss 1.770, Time Elapsed 17.901 s
Step 120690, Total Loss 3.352, Time Elapsed 18.287 s
Step 120700, Total Loss 1.481, Time Elapsed 18.021 s
Step 120710, Total Loss 0.928, Time Elapsed 18.773 s
Step 120720, Total Loss 0.579, Time Elapsed 17.206 s
Step 120730, Total Loss 0.959, Time Elapsed 17.827 s
Step 120740, Total Loss 1.311, Time Elapsed 17.792 s
Step 120750, Total Loss 1.087, Time Elapsed 17.809 s
Step 120760, Total Loss 1.147, Time Elapsed 17.777 s
Step 120770, Total Loss 0.425, Time Elapsed 17.421 s
Step 120780, Total Loss 2.047, Time Elapsed 18.978 s
Step 120790, Total Loss 0.994, Time Elapsed 18.763 s
Step 120800, Total Loss 2.796, Time Elapsed 17.041 s
Step 120810, Total Loss 1.821, Time Elapsed 17.991 s
Step 120820, Total Loss 0.573, Time Elapsed 17.422 s
Step 120830, Total Loss 1.519, Time Elapsed 17.784 s
Step 120840, Total Loss 0.735, Time Elapsed 18.306 s
Step 120850, Total Loss 0.731, Time Elapsed 17.889 s
Step 120860, Total Loss 0.757, Time Elapsed 17.013 s
Step 120870, Total Loss 1.127, Time Elapsed 17.896 s
Step 120880, Total Loss 3.095, Time Elapsed 16.940 s
Step 120890, Total Loss 4.085, Time Elapsed 16.843 s
Step 120900, Total Loss 0.601, Time Elapsed 16.707 s
Step 120910, Total Loss 0.748, Time Elapsed 16.707 s
Step 120920, Total Loss 2.778, Time Elapsed 17.593 s
Step 120930, Total Loss 1.339, Time Elapsed 16.559 s
Step 120940, Total Loss 1.455, Time Elapsed 17.157 s
Step 120950, Total Loss 0.985, Time Elapsed 17.068 s
Step 120960, Total Loss 1.347, Time Elapsed 15.555 s
Step 120970, Total Loss 1.976, Time Elapsed 17.056 s
Step 120980, Total Loss 2.786, Time Elapsed 17.663 s
Step 120990, Total Loss 1.472, Time Elapsed 18.028 s
Step 121000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00121000
Step 121000, Total Loss 1.386, Time Elapsed 18.503 s
Step 121010, Total Loss 2.508, Time Elapsed 16.318 s
Step 121020, Total Loss 0.333, Time Elapsed 17.111 s
Step 121030, Total Loss 0.612, Time Elapsed 18.751 s
Step 121040, Total Loss 0.822, Time Elapsed 17.705 s
Step 121050, Total Loss 1.574, Time Elapsed 17.505 s
Step 121060, Total Loss 6.720, Time Elapsed 17.419 s
Step 121070, Total Loss 0.442, Time Elapsed 16.930 s
Step 121080, Total Loss 1.283, Time Elapsed 16.494 s
Step 121090, Total Loss 1.318, Time Elapsed 18.053 s
Step 121100, Total Loss 1.138, Time Elapsed 16.919 s
Step 121110, Total Loss 1.484, Time Elapsed 17.099 s
Step 121120, Total Loss 0.687, Time Elapsed 16.829 s
Step 121130, Total Loss 1.662, Time Elapsed 16.972 s
Step 121140, Total Loss 1.552, Time Elapsed 17.221 s
