/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/engine/base_layer_v1.py:1694: UserWarning: `layer.apply` is deprecated and will be removed in a future version. Please use `layer.__call__` method instead.
  warnings.warn('`layer.apply` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/legacy_tf_layers/core.py:336: UserWarning: `tf.layers.flatten` is deprecated and will be removed in a future version. Please use `tf.keras.layers.Flatten` instead.
  warnings.warn('`tf.layers.flatten` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/framework/indexed_slices.py:447: UserWarning: Converting sparse IndexedSlices(IndexedSlices(indices=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape_1:0", shape=(None,), dtype=int32), values=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape:0", shape=(None, 6), dtype=float32), dense_shape=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Cast:0", shape=(2,), dtype=int32))) to a dense Tensor of unknown shape. This may consume a large amount of memory.
  warnings.warn(
2022-01-12 23:08:10.705710: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-12 23:08:11.581748: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 7398 MB memory:  -> device: 0, name: GeForce GTX 1070 Ti, pci bus id: 0000:8b:00.0, compute capability: 6.1
2022-01-12 23:08:17.048840: I tensorflow/stream_executor/cuda/cuda_dnn.cc:369] Loaded cuDNN version 8201
2022-01-12 23:08:17.472174: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-12 23:08:17.473473: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-12 23:08:17.473527: W tensorflow/stream_executor/gpu/asm_compiler.cc:77] Couldn't get ptxas version string: Internal: Couldn't invoke ptxas --version
2022-01-12 23:08:17.474514: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-12 23:08:17.474729: W tensorflow/stream_executor/gpu/redzone_allocator.cc:314] Internal: Failed to launch ptxas
Relying on driver to perform ptx compilation. 
Modify $PATH to customize ptxas location.
This message will be only logged once.
2022-01-12 23:09:00.754542: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.94GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:15:10.753963: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.12GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:18:23.393802: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.50GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:19:15.378007: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.78GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:20:39.622797: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.75GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:22:14.380250: W tensorflow/core/common_runtime/bfc_allocator.cc:338] Garbage collection: deallocate free memory regions (i.e., allocations) so that we can re-allocate a larger region to avoid OOM due to memory fragmentation. If you see this message frequently, you are running near the threshold of the available device memory and re-allocation may incur great performance overhead. You may try smaller batch sizes to observe the performance impact. Set TF_ENABLE_GPU_GARBAGE_COLLECTION=false if you'd like to disable this feature.
2022-01-12 23:22:14.788365: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.92GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:25:11.344768: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.94GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:25:44.510826: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.77GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:26:28.147028: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.38GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2022-01-12 23:28:19.446834: W tensorflow/core/common_runtime/bfc_allocator.cc:272] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.71GiB with freed_by_count=0. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
Starting from step 120000 / 150000
Step 120000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00120000
Step 120000, Total Loss 1.064, Time Elapsed 7.637 s
Step 120010, Total Loss 1.974, Time Elapsed 28.095 s
Step 120020, Total Loss 1.316, Time Elapsed 21.795 s
Step 120030, Total Loss 4.971, Time Elapsed 22.530 s
Step 120040, Total Loss 2.280, Time Elapsed 23.387 s
Step 120050, Total Loss 1.478, Time Elapsed 23.117 s
Step 120060, Total Loss 0.829, Time Elapsed 23.277 s
Step 120070, Total Loss 3.215, Time Elapsed 21.920 s
Step 120080, Total Loss 0.565, Time Elapsed 22.475 s
Step 120090, Total Loss 1.803, Time Elapsed 22.617 s
Step 120100, Total Loss 5.570, Time Elapsed 23.503 s
Step 120110, Total Loss 9.581, Time Elapsed 23.687 s
Step 120120, Total Loss 8.381, Time Elapsed 20.522 s
Step 120130, Total Loss 0.926, Time Elapsed 22.976 s
Step 120140, Total Loss 0.868, Time Elapsed 22.689 s
Step 120150, Total Loss 1.732, Time Elapsed 21.404 s
Step 120160, Total Loss 1.717, Time Elapsed 22.090 s
Step 120170, Total Loss 3.919, Time Elapsed 24.318 s
Step 120180, Total Loss 0.773, Time Elapsed 23.197 s
Step 120190, Total Loss 0.992, Time Elapsed 22.893 s
Step 120200, Total Loss 2.750, Time Elapsed 23.953 s
Step 120210, Total Loss 1.383, Time Elapsed 20.986 s
Step 120220, Total Loss 0.565, Time Elapsed 23.093 s
Step 120230, Total Loss 1.503, Time Elapsed 22.688 s
Step 120240, Total Loss 2.463, Time Elapsed 22.081 s
Step 120250, Total Loss 2.288, Time Elapsed 22.837 s
Step 120260, Total Loss 0.903, Time Elapsed 22.787 s
Step 120270, Total Loss 5.194, Time Elapsed 21.840 s
Step 120280, Total Loss 2.704, Time Elapsed 22.214 s
Step 120290, Total Loss 2.219, Time Elapsed 20.827 s
Step 120300, Total Loss 2.096, Time Elapsed 22.591 s
Step 120310, Total Loss 0.899, Time Elapsed 22.597 s
Step 120320, Total Loss 0.972, Time Elapsed 22.110 s
Step 120330, Total Loss 0.577, Time Elapsed 22.239 s
Step 120340, Total Loss 1.951, Time Elapsed 22.579 s
Step 120350, Total Loss 1.277, Time Elapsed 22.401 s
Step 120360, Total Loss 0.956, Time Elapsed 20.584 s
Step 120370, Total Loss 1.474, Time Elapsed 21.804 s
Step 120380, Total Loss 2.241, Time Elapsed 23.201 s
Step 120390, Total Loss 1.807, Time Elapsed 21.489 s
Step 120400, Total Loss 1.491, Time Elapsed 23.147 s
Step 120410, Total Loss 0.261, Time Elapsed 21.194 s
Step 120420, Total Loss 2.012, Time Elapsed 22.734 s
Step 120430, Total Loss 0.985, Time Elapsed 21.007 s
Step 120440, Total Loss 1.989, Time Elapsed 22.348 s
Step 120450, Total Loss 0.295, Time Elapsed 21.581 s
Step 120460, Total Loss 3.995, Time Elapsed 23.007 s
Step 120470, Total Loss 0.935, Time Elapsed 22.372 s
Step 120480, Total Loss 0.814, Time Elapsed 20.930 s
Step 120490, Total Loss 2.618, Time Elapsed 22.595 s
Step 120500, Total Loss 1.993, Time Elapsed 23.397 s
Step 120510, Total Loss 0.966, Time Elapsed 22.516 s
Step 120520, Total Loss 2.647, Time Elapsed 22.886 s
Step 120530, Total Loss 1.801, Time Elapsed 20.295 s
Step 120540, Total Loss 1.285, Time Elapsed 20.988 s
Step 120550, Total Loss 1.418, Time Elapsed 22.697 s
Step 120560, Total Loss 0.478, Time Elapsed 22.515 s
Step 120570, Total Loss 1.223, Time Elapsed 22.807 s
Step 120580, Total Loss 1.888, Time Elapsed 22.080 s
Step 120590, Total Loss 0.679, Time Elapsed 22.296 s
Step 120600, Total Loss 0.300, Time Elapsed 21.728 s
Step 120610, Total Loss 1.691, Time Elapsed 22.493 s
Step 120620, Total Loss 1.117, Time Elapsed 22.308 s
Step 120630, Total Loss 0.808, Time Elapsed 21.900 s
Step 120640, Total Loss 1.932, Time Elapsed 21.885 s
Step 120650, Total Loss 1.692, Time Elapsed 21.429 s
Step 120660, Total Loss 1.183, Time Elapsed 21.154 s
Step 120670, Total Loss 1.028, Time Elapsed 21.417 s
Step 120680, Total Loss 1.644, Time Elapsed 21.398 s
Step 120690, Total Loss 2.126, Time Elapsed 22.605 s
Step 120700, Total Loss 1.732, Time Elapsed 23.398 s
Step 120710, Total Loss 1.042, Time Elapsed 22.365 s
Step 120720, Total Loss 1.047, Time Elapsed 22.627 s
Step 120730, Total Loss 0.724, Time Elapsed 22.628 s
Step 120740, Total Loss 0.754, Time Elapsed 22.803 s
Step 120750, Total Loss 2.611, Time Elapsed 23.197 s
Step 120760, Total Loss 0.821, Time Elapsed 22.131 s
Step 120770, Total Loss 1.890, Time Elapsed 20.930 s
Step 120780, Total Loss 1.952, Time Elapsed 21.316 s
Step 120790, Total Loss 0.495, Time Elapsed 21.308 s
Step 120800, Total Loss 0.582, Time Elapsed 22.292 s
Step 120810, Total Loss 1.819, Time Elapsed 20.601 s
Step 120820, Total Loss 0.790, Time Elapsed 22.490 s
Step 120830, Total Loss 1.245, Time Elapsed 22.413 s
Step 120840, Total Loss 1.296, Time Elapsed 21.000 s
Step 120850, Total Loss 0.990, Time Elapsed 21.107 s
Step 120860, Total Loss 1.147, Time Elapsed 23.412 s
Step 120870, Total Loss 1.108, Time Elapsed 22.370 s
Step 120880, Total Loss 2.687, Time Elapsed 21.909 s
Step 120890, Total Loss 2.197, Time Elapsed 20.591 s
Step 120900, Total Loss 1.818, Time Elapsed 20.792 s
Step 120910, Total Loss 3.447, Time Elapsed 22.404 s
Step 120920, Total Loss 1.890, Time Elapsed 21.815 s
Step 120930, Total Loss 1.226, Time Elapsed 22.265 s
Step 120940, Total Loss 2.629, Time Elapsed 20.397 s
Step 120950, Total Loss 1.679, Time Elapsed 22.715 s
Step 120960, Total Loss 0.956, Time Elapsed 22.214 s
Step 120970, Total Loss 0.731, Time Elapsed 22.421 s
Step 120980, Total Loss 0.725, Time Elapsed 22.873 s
Step 120990, Total Loss 1.447, Time Elapsed 19.783 s
Step 121000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00121000
Step 121000, Total Loss 0.133, Time Elapsed 23.237 s
Step 121010, Total Loss 0.636, Time Elapsed 22.373 s
Step 121020, Total Loss 1.369, Time Elapsed 19.828 s
Step 121030, Total Loss 1.307, Time Elapsed 21.385 s
Step 121040, Total Loss 2.309, Time Elapsed 19.302 s
Step 121050, Total Loss 1.569, Time Elapsed 23.310 s
Step 121060, Total Loss 0.878, Time Elapsed 22.681 s
Step 121070, Total Loss 2.572, Time Elapsed 22.005 s
Step 121080, Total Loss 2.082, Time Elapsed 22.016 s
Step 121090, Total Loss 0.784, Time Elapsed 22.605 s
Step 121100, Total Loss 1.593, Time Elapsed 20.788 s
Step 121110, Total Loss 0.829, Time Elapsed 21.882 s
Step 121120, Total Loss 1.151, Time Elapsed 21.306 s
Step 121130, Total Loss 1.228, Time Elapsed 20.740 s
Step 121140, Total Loss 1.489, Time Elapsed 21.277 s
Step 121150, Total Loss 0.715, Time Elapsed 21.586 s
Step 121160, Total Loss 0.847, Time Elapsed 22.490 s
Step 121170, Total Loss 0.408, Time Elapsed 21.421 s
Step 121180, Total Loss 1.144, Time Elapsed 21.991 s
Step 121190, Total Loss 0.456, Time Elapsed 21.584 s
Step 121200, Total Loss 2.107, Time Elapsed 20.204 s
Step 121210, Total Loss 1.039, Time Elapsed 21.888 s
Step 121220, Total Loss 3.349, Time Elapsed 21.326 s
Step 121230, Total Loss 0.869, Time Elapsed 22.383 s
Step 121240, Total Loss 0.369, Time Elapsed 21.944 s
Step 121250, Total Loss 1.395, Time Elapsed 22.454 s
Step 121260, Total Loss 0.738, Time Elapsed 21.427 s
Step 121270, Total Loss 1.701, Time Elapsed 21.702 s
Step 121280, Total Loss 0.251, Time Elapsed 22.885 s
Step 121290, Total Loss 0.920, Time Elapsed 22.994 s
Step 121300, Total Loss 0.670, Time Elapsed 20.485 s
